Region,Year,Month,temperature_2m_max,precipitation_sum,vapour_pressure_deficit_max,soil_moisture_0_to_7cm_mean,relative_humidity_2m_mean
California,2006,7,38.25483871,0.038709677,5.534193548,0.126870968,34.41935484
California,2006,8,34.89677419,0,4.530967742,0.126,34.16129032
California,2006,9,32.27666667,0,4.01,0.126133333,33.5
California,2006,10,23.63225806,0.335483871,1.961290323,0.173354839,56
California,2006,11,18.65,0.33,1.239666667,0.171533333,64.73333333
California,2006,12,14.27741935,1.94516129,0.880645161,0.292,69.61290323
California,2007,1,12.61290323,0.961290323,0.783870968,0.321193548,67
California,2007,2,14.92857143,5.253571429,0.755714286,0.359214286,77.10714286
California,2007,3,21.10967742,0.825806452,1.483870968,0.331032258,67.64516129
California,2007,4,22.17,0.913333333,1.801,0.262133333,60.23333333
California,2007,5,28.50322581,0.206451613,3.140967742,0.170483871,43.09677419
California,2007,6,33.97,0,4.602333333,0.126733333,30.13333333
California,2007,7,36.88064516,0,5.201935484,0.12616129,31.4516129
California,2007,8,36.85806452,0,5.246451613,0.126,29.35483871
California,2007,9,30.30333333,0.096666667,3.534,0.129866667,40.03333333
California,2007,10,24.41290323,0.419354839,2.279032258,0.159129032,50.74193548
California,2007,11,20.71,0.176666667,1.621,0.160066667,56.26666667
California,2007,12,12.15806452,3.196774194,0.698387097,0.299903226,69.83870968
California,2008,1,12.50645161,5.277419355,0.637096774,0.376548387,78.22580645
California,2008,2,14.85172414,4.448275862,0.701034483,0.37862069,79
California,2008,3,18.76774194,0.203225806,1.25516129,0.283677419,65.96774194
California,2008,4,22.77,0.006666667,2.134666667,0.172733333,48.1
California,2008,5,26.83225806,0.519354839,2.818709677,0.160096774,43.90322581
California,2008,6,33.61,0,4.447666667,0.136166667,33.86666667
California,2008,7,35.94516129,0,4.777419355,0.126,34.5483871
California,2008,8,36.37741935,0,4.932580645,0.126,32.93548387
California,2008,9,33.44333333,0,4.298,0.126,33.06666667
California,2008,10,26.33870968,0.5,2.655483871,0.156580645,45.12903226
California,2008,11,19.07333333,2.243333333,1.113,0.316033333,72.56666667
California,2008,12,12.51612903,2.867741935,0.66483871,0.332774194,74.67741935
California,2009,1,15.27419355,1.8,0.818064516,0.343806452,75.22580645
California,2009,2,14.48928571,4.392857143,0.707142857,0.393071429,78.42857143
California,2009,3,17.55806452,2.25483871,1.03483871,0.352225806,70.61290323
California,2009,4,21.65666667,0.646666667,1.855333333,0.276433333,56.16666667
California,2009,5,30.02580645,0.583870968,3.241290323,0.184,49.29032258
California,2009,6,29.96666667,0.463333333,3.353333333,0.158533333,45.36666667
California,2009,7,37.42258065,0,5.474516129,0.126,29.19354839
California,2009,8,35.09032258,0.019354839,4.637741935,0.126516129,34.5483871
California,2009,9,33.54333333,0,4.241666667,0.126233333,35.23333333
California,2009,10,22.38709677,2.083870968,1.633870968,0.245258065,60.38709677
California,2009,11,18.97666667,0.333333333,1.341666667,0.2308,63.83333333
California,2009,12,13.13548387,4.529032258,0.679032258,0.349677419,75.32258065
California,2010,1,14.65483871,4.932258065,0.728387097,0.376258065,78.67741935
California,2010,2,14.93928571,4.464285714,0.656071429,0.384357143,81.25
California,2010,3,17.4483871,2.135483871,1.058387097,0.355096774,72.48387097
California,2010,4,18.08,3.276666667,1.057333333,0.371566667,71.96666667
California,2010,5,22.60322581,0.522580645,1.827096774,0.278032258,59.32258065
California,2010,6,31.29666667,0,3.502,0.146533333,43.93333333
California,2010,7,35.53225806,0,4.583548387,0.126354839,36.61290323
California,2010,8,34.27096774,0,4.40516129,0.126,35.25806452
California,2010,9,32.53,0.036666667,4.041,0.1275,37.43333333
California,2010,10,24.25483871,2.65483871,1.93516129,0.259129032,63.61290323
California,2010,11,16.74333333,2.696666667,1.085666667,0.332466667,70.4
California,2010,12,14.30967742,9.64516129,0.589677419,0.385935484,81
California,2011,1,14.22580645,2.264516129,0.610645161,0.350612903,81.32258065
California,2011,2,13.54642857,3.15,0.74,0.358214286,74.85714286
California,2011,3,16.12258065,6.896774194,0.803548387,0.387709677,77.64516129
California,2011,4,19.95666667,0.6,1.286333333,0.2964,67.23333333
California,2011,5,23.0516129,1.429032258,2.013870968,0.23,56
California,2011,6,28.72,1.653333333,2.899,0.207233333,53.6
California,2011,7,34.41935484,0.006451613,4.099354839,0.148935484,44.67741935
California,2011,8,35.43225806,0,4.637096774,0.126064516,34.74193548
California,2011,9,33.56666667,0.01,4.139333333,0.126133333,38.03333333
California,2011,10,25.25806452,1.322580645,2.041290323,0.207774194,60.87096774
California,2011,11,17.14666667,1.223333333,1.071333333,0.275666667,67.96666667
