Province,Year,temperature_2m_max_core_MayAug,vapour_pressure_deficit_max_core_MayAug,soil_moisture_0_to_7cm_mean_core_MayAug,relative_humidity_2m_mean_core_MayAug,precipitation_sum_core_MayAug
SK,2010,19.45913844,1.192447984,0.347995739,71.33745968,12.76693548
SK,2011,20.58437903,1.36066129,0.310336976,67.01655914,9.494849462
SK,2012,21.47630914,1.480820027,0.319880336,66.38239247,10.90420968
SK,2013,21.24441129,1.438681855,0.305172191,65.41908602,7.840091398
SK,2014,20.33075134,1.299329435,0.324800981,68.46782258,10.41837634
SK,2015,22.08327554,1.688207392,0.262949946,60.19850806,7.229591398
SK,2016,21.67274866,1.448965457,0.315168777,66.13967742,11.31257527
SK,2017,22.47236156,1.814327151,0.251771371,58.41719086,5.148284946
SK,2018,23.25297177,1.872476478,0.25012336,59.46297043,6.241026882
SK,2019,20.75232124,1.514129435,0.271914812,62.46958333,7.642951613
SK,2020,21.89486425,1.671862097,0.266343212,61.1346371,7.225784946
SK,2021,23.14811828,1.979864919,0.234727312,56.6134543,6.703709677
SK,2022,22.37905645,1.725550403,0.277326089,62.01442204,9.095962366
SK,2023,23.78902151,1.87981707,0.255033817,61.22001344,6.358204301
SK,2024,21.69546102,1.610880511,0.28614621,64.65907258,9.15533871
